ablation_name,horizon,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MASE_mean,MASE_std,R2_mean,R2_std,sMAPE_mean,sMAPE_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
full,1,4109.978678372984,,1286.2844361419636,,27.41270794288143,,-0.10758526939151114,,194.469427387846,,0.0,,0.0,,0.0,,0.7272368421052632,,0.7704084668355475,
full,2,4109.4282556531,,1285.8492797684657,,27.403434088482662,,-0.10728862587016019,,190.70663028977484,,0.0,,0.0,,0.0,,0.7284533648170011,,0.7487269932589509,
full,3,4110.557830530396,,1286.4455184329481,,27.41614085528669,,-0.10789743918301342,,190.6405169568174,,0.0,,0.0,,0.0,,0.651318378591106,,0.7001601652221972,
full,4,4110.406511330607,,1286.2908195345192,,27.41284398283565,,-0.10781587211833044,,189.90521220724213,,0.0,,0.0,,0.0,,0.6615505706414797,,0.7276500906769819,
full,5,4110.463673120801,,1286.4145241828644,,27.415480319948177,,-0.10784668424292065,,193.9471129613574,,0.0,,0.0,,0.0,,0.7973238882329792,,0.846143155601172,
full,6,4109.933015151413,,1286.1939343210956,,27.410779209302724,,-0.10756065825137417,,193.02276236499102,,0.0,,0.0,,0.0,,0.6978989951716038,,0.7833562055965487,
no_climate,1,4110.87015646159,,1286.6822270900855,,27.421185482356208,,-0.10806580477199823,,193.9792865352601,,0.0,,0.0,,0.0,,0.5890131578947368,,0.6469088689504335,
no_climate,2,4110.643092813885,,1286.4136551539484,,27.4154617995998,,-0.10794340026620852,,191.7488751814416,,0.0,,0.0,,0.0,,0.570510297783025,,0.6142515541459757,
no_climate,3,4111.058249757071,,1286.717491260821,,27.42193701629851,,-0.10816720642616406,,190.90176802282653,,0.0,,0.0,,0.0,,0.5401416765053129,,0.6043116479573191,
no_climate,4,4110.837490726417,,1286.543030729684,,27.418218992933507,,-0.10804819504999452,,190.25708029833908,,0.0,,0.0,,0.0,,0.4900957628230356,,0.5971513827050661,
no_climate,5,4110.730731888321,,1286.544718586918,,27.418254963777983,,-0.10799064356464783,,190.93020160996653,,0.0,,0.0,,0.0,,0.6468581923127377,,0.7141994901691253,
no_climate,6,4109.282528090042,,1285.764037637723,,27.40161744702388,,-0.10721009445317842,,193.31613589635177,,0.0,,0.0,,0.0,,0.8492757405715777,,0.8723298133874484,
no_population_density,1,4109.704369295475,,1286.208354224356,,27.411086519712097,,-0.1074374289385791,,193.71259969071758,,0.0,,0.0,,0.0,,0.7569078947368422,,0.8017555684078385,
no_population_density,2,4109.9801251434055,,1286.0835342142673,,27.408426412518192,,-0.10758604916289904,,190.193203221012,,0.0,,0.0,,0.0,,0.6843762298307753,,0.7121205071381542,
no_population_density,3,4110.6218478546,,1286.5465536674585,,27.4182940721785,,-0.10793194796978112,,190.54222397412468,,0.0,,0.0,,0.0,,0.5937295028204119,,0.6686275843380662,
no_population_density,4,4110.442320516753,,1286.3760636860477,,27.414660667360497,,-0.10783517442211532,,191.89267411341123,,0.0,,0.0,,0.0,,0.7521972976518431,,0.7929856942778969,
no_population_density,5,4110.7406560566715,,1286.5371755886574,,27.41809421083523,,-0.10799599341588717,,195.97794753335313,,0.0,,0.0,,0.0,,0.8383838383838383,,0.8631175474390362,
no_population_density,6,4109.876697611927,,1286.2418556326952,,27.41180048646523,,-0.1075303051222507,,193.92072640694528,,0.0,,0.0,,0.0,,0.7300665535690982,,0.8009077175654353,
no_serotype,1,4049.109732672746,,1259.984288464587,,26.852211176476487,,-0.07502144140446321,,175.75345430147652,,1.0,,0.15,,0.2608695652173913,,0.8593421052631578,,0.8843305401891786,
no_serotype,2,4018.9366914037378,,1252.654676354365,,26.696005822150056,,-0.059059507481090456,,177.5187968303416,,1.0,,0.10101010101010101,,0.1834862385321101,,0.8667191394464122,,0.8842456816166051,
no_serotype,3,4055.5944884087476,,1258.6469373415814,,26.82371015856633,,-0.0784675489393909,,174.7703811254887,,1.0,,0.1414141414141414,,0.24778761061946902,,0.8196904105995015,,0.8809720862936224,
no_serotype,4,4076.0021821720115,,1262.8961682046272,,26.914267831004572,,-0.08934852341162336,,174.1517978961179,,0.9230769230769231,,0.12121212121212122,,0.21428571428571427,,0.8697363242817788,,0.8860767888321257,
no_serotype,5,4079.9547094276245,,1263.7329076657259,,26.9321000412272,,-0.0914622452207341,,172.07186670921564,,0.9333333333333333,,0.1414141414141414,,0.24561403508771928,,0.7817132362586908,,0.8206532916517572,
no_serotype,6,4095.7818560512583,,1270.211444534678,,27.07016766771458,,-0.09994677051010248,,177.4162627111465,,1.0,,0.08247422680412371,,0.1523809523809524,,0.7591021793031449,,0.8364591314179396,
no_temporal,1,4109.628834874305,,1286.30276434797,,27.413098545258517,,-0.10739672096109953,,195.06907902198185,,0.0,,0.0,,0.0,,0.7195394736842106,,0.767749020446348,
no_temporal,2,4109.780416564543,,1285.8848053579886,,27.404191193663074,,-0.10747841406245207,,191.1747172133067,,0.0,,0.0,,0.0,,0.8074248983339892,,0.83121865299325,
no_temporal,3,4110.594507978822,,1286.419558654132,,27.415587612306407,,-0.10791721023801304,,194.6659189004444,,0.0,,0.0,,0.0,,0.6881149153876427,,0.766545556707203,
no_temporal,4,4109.99351946813,,1286.2078033064847,,27.411074778801392,,-0.10759326836636274,,195.88274448972754,,0.0,,0.0,,0.0,,0.822248458612095,,0.8423267088608428,
no_temporal,5,4110.459948995015,,1286.4280771915944,,27.41576915549623,,-0.10784467680100529,,196.9681692816279,,0.0,,0.0,,0.0,,0.8536009445100354,,0.8806816161102178,
no_temporal,6,4109.874012902549,,1286.3876988636764,,27.414908630965776,,-0.1075288581707996,,195.1432769827205,,0.0,,0.0,,0.0,,0.7734568706772804,,0.8252825544532811,
